IP,Date,Time,Accepted-cookies,Device type,Browser anguage,Browser name,OS Name,Country,Region,RegionName,City,Zipcode,Lat,Lon
2409:40e1:303a:ad17:9909:ad58:e5df:b5b6,2025-10-22,21:26:21 UTC,necessary,desktop,en,Opera,Windows,India,WB,West Bengal,Kolkata,700023,22.5643,88.3693
2409:40e1:303a:ad17:9909:ad58:e5df:b5b6,2025-10-22,21:29:29 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700023,22.5643,88.3693
2404:7c80:85:7129:88a8:bd7:2098:5af3,2025-10-23,08:13:48 UTC,necessary,desktop,en,Chrome,Windows,India,PB,Punjab,Jalandhar,144301,31.33,75.5844
157.119.105.42,2025-10-25,02:11:35 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Howrah,711102,22.574,88.3191
45.251.232.209,2025-10-26,17:30:35 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700010,22.5643,88.3693
2404:7c80:85:7129:6c25:5d1:508a:efba,2025-10-26,19:30:18 UTC,necessary,desktop,en,Chrome,Windows,India,PB,Punjab,Jalandhar,144301,31.33,75.5844
2402:3a80:1983:da14:d94e:ea19:6eba:bad2,2025-10-27,21:37:27 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700001,22.5643,88.3693
2409:40e0:103:dc46:b39:9134:3940:64ca,2025-10-28,05:46:29 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700012,22.5643,88.3693
2404:7c80:84:7352:e89c:b448:5fd9:b3f0,2025-10-29,20:05:49 UTC,necessary,desktop,en,Chrome,Windows,India,PB,Punjab,Jalandhar,144301,31.33,75.5844
2404:7c80:84:7352:1933:3a0a:9518:a70e,2025-10-30,08:45:09 UTC,necessary,desktop,en,Chrome,Windows,India,PB,Punjab,Jalandhar,144301,31.33,75.5844
106.215.89.118,2025-10-30,21:33:33 UTC,necessary,desktop,en,Opera,Windows,India,DL,National Capital Territory of Delhi,New Delhi,110020,28.6327,77.2198
